                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                 1.0398,                 0.8678,                 1.3695,                 1.1089,                 1.0331,                 1.3776,                0.91457,                0.84211,                0.94563,                0.71919,                0.83007,                0.52294,                 1.4083,                0.87588,                0.49129,                 1.4392,             0.00073579,             0.00073579,             0.00073579
                    101,                 1.0384,                0.86241,                 1.3631,                  1.107,                 1.0376,                 1.3733,                 0.9005,                0.86007,                0.93914,                 0.7232,                0.81114,                0.54103,                 1.3889,                0.84817,                0.54331,                 1.4133,             0.00072872,             0.00072872,             0.00072872
                    102,                 1.0391,                0.85988,                 1.3746,                 1.1187,                 1.0192,                 1.3945,                0.87284,                0.88242,                0.94458,                0.72686,                0.80091,                0.52444,                 1.3645,                0.83902,                0.51798,                 1.3912,             0.00072164,             0.00072164,             0.00072164
                    103,                 1.0311,                0.85705,                 1.3663,                 1.1028,                 1.0115,                 1.3835,                0.91561,                0.85972,                0.95604,                0.73639,                0.80166,                0.51379,                 1.3713,                0.85486,                0.45423,                 1.4094,             0.00071457,             0.00071457,             0.00071457
                    104,                 1.0402,                0.86373,                 1.3732,                 1.1098,                 1.0209,                 1.3856,                0.89846,                0.86224,                0.94352,                0.72675,                0.79705,                0.52862,                 1.3763,                0.83242,                0.50347,                 1.3963,              0.0007075,              0.0007075,              0.0007075
                    105,                 1.0215,                0.84795,                 1.3567,                 1.0945,                 1.0066,                 1.3714,                0.88034,                0.89776,                0.95525,                 0.7419,                0.80691,                0.49378,                 1.3803,                 0.8458,                0.46024,                 1.4074,             0.00070042,             0.00070042,             0.00070042
                    106,                 1.0226,                0.85643,                  1.364,                 1.1025,                 1.0268,                 1.3831,                0.91265,                0.87291,                0.95171,                0.74202,                0.79568,                0.50375,                 1.3589,                0.82485,                0.46184,                  1.377,             0.00069335,             0.00069335,             0.00069335
                    107,                 1.0107,                0.83761,                 1.3524,                  1.086,                0.98724,                 1.3671,                0.87893,                0.86822,                 0.9432,                0.72372,                0.80672,                0.54573,                 1.3709,                0.85485,                0.49795,                 1.4051,             0.00068628,             0.00068628,             0.00068628
                    108,                 1.0197,                0.83701,                 1.3607,                 1.0912,                0.98585,                 1.3737,                0.88311,                0.88445,                0.94658,                0.73341,                0.79938,                 0.5177,                 1.3671,                 0.8297,                 0.4951,                 1.3855,              0.0006792,              0.0006792,              0.0006792
                    109,                 1.0087,                0.83011,                 1.3521,                 1.0787,                0.98909,                 1.3665,                0.91173,                0.89277,                0.96443,                 0.7405,                0.79889,                0.50231,                 1.3691,                0.85326,                0.43715,                 1.4046,             0.00067213,             0.00067213,             0.00067213
                    110,                0.99984,                0.81819,                 1.3401,                 1.0688,                0.97419,                 1.3586,                0.88022,                0.88399,                0.95029,                0.72991,                0.81412,                0.52237,                 1.3722,                0.85863,                0.47008,                 1.4098,             0.00066506,             0.00066506,             0.00066506
                    111,                 1.0131,                 0.8267,                 1.3566,                 1.0824,                0.98541,                  1.371,                0.88834,                0.90271,                0.94911,                0.72772,                0.81713,                0.52369,                 1.3754,                 0.8678,                 0.4567,                  1.411,             0.00065798,             0.00065798,             0.00065798
                    112,                0.99825,                0.82052,                  1.341,                 1.0677,                 0.9881,                 1.3623,                0.91452,                0.86809,                0.94689,                0.73076,                0.81097,                 0.5221,                 1.3746,                0.84569,                0.49392,                  1.402,             0.00065091,             0.00065091,             0.00065091
                    113,                 1.0004,                0.82863,                 1.3424,                 1.0719,                  1.008,                 1.3629,                0.91558,                0.87611,                0.95575,                0.73452,                0.82051,                0.49585,                 1.3911,                0.86375,                 0.4518,                 1.4222,             0.00064384,             0.00064384,             0.00064384
                    114,                 0.9935,                0.79948,                 1.3331,                 1.0692,                0.93984,                 1.3534,                0.87123,                0.89989,                 0.9544,                0.72745,                0.81644,                0.51679,                 1.3649,                0.86281,                0.46901,                 1.4074,             0.00063676,             0.00063676,             0.00063676
                    115,                 0.9929,                0.80901,                 1.3417,                 1.0685,                0.96772,                 1.3649,                0.93948,                0.86291,                0.95826,                0.74325,                0.79717,                0.48563,                 1.3675,                0.84852,                 0.4356,                 1.4024,             0.00062969,             0.00062969,             0.00062969
                    116,                0.98305,                0.79933,                 1.3256,                 1.0577,                0.94085,                 1.3449,                0.91022,                0.87899,                0.95719,                0.74282,                0.80327,                0.50442,                 1.3582,                0.84232,                0.47037,                 1.3775,             0.00062262,             0.00062262,             0.00062262
                    117,                 1.0047,                0.81973,                  1.346,                 1.0807,                0.98005,                 1.3653,                0.91934,                0.89494,                0.96436,                0.74562,                0.80289,                0.48161,                 1.3708,                0.84983,                0.42631,                 1.4026,             0.00061554,             0.00061554,             0.00061554
                    118,                0.99035,                0.80894,                 1.3364,                  1.067,                0.96004,                 1.3561,                 0.9062,                0.89235,                0.95739,                0.73487,                0.81707,                0.49921,                 1.3856,                0.86167,                 0.4511,                 1.4194,             0.00060847,             0.00060847,             0.00060847
                    119,                0.99104,                0.79497,                 1.3337,                 1.0695,                 0.9437,                 1.3542,                0.92471,                0.86136,                0.95473,                0.73933,                0.79386,                0.48916,                 1.3643,                0.84178,                0.45147,                 1.4017,             0.00060139,             0.00060139,             0.00060139
                    120,                0.98763,                 0.8036,                 1.3339,                 1.0625,                   0.96,                 1.3555,                0.87528,                0.89756,                0.95582,                0.73251,                0.80045,                0.49713,                 1.3654,                0.85628,                 0.4725,                 1.4072,             0.00059432,             0.00059432,             0.00059432
                    121,                0.96567,                0.78348,                 1.3126,                 1.0413,                0.93112,                  1.332,                0.90052,                0.90846,                0.95962,                0.74714,                0.80461,                0.48262,                 1.3695,                0.83958,                0.44079,                 1.4007,             0.00058725,             0.00058725,             0.00058725
                    122,                0.98154,                0.80304,                 1.3298,                 1.0575,                0.94211,                 1.3491,                0.92894,                0.89162,                0.96229,                0.74411,                0.80893,                0.47324,                 1.3787,                 0.8469,                 0.4429,                 1.4032,             0.00058017,             0.00058017,             0.00058017
                    123,                 0.9874,                0.79125,                 1.3376,                 1.0593,                0.92841,                 1.3545,                 0.9072,                0.91131,                0.96033,                0.74943,                0.80088,                0.49869,                 1.3674,                0.84835,                0.44781,                 1.3935,              0.0005731,              0.0005731,              0.0005731
                    124,                0.96331,                0.77849,                 1.3134,                 1.0327,                0.93546,                  1.327,                0.90153,                0.90681,                 0.9631,                0.74899,                0.80779,                0.47056,                 1.3733,                0.84159,                0.42033,                 1.3968,             0.00056603,             0.00056603,             0.00056603
                    125,                0.97297,                0.78111,                 1.3201,                 1.0433,                0.92853,                 1.3371,                0.91617,                0.90289,                0.96641,                0.74969,                0.79952,                0.46374,                 1.3693,                0.85056,                0.40646,                 1.3944,             0.00055895,             0.00055895,             0.00055895
                    126,                0.96814,                0.79524,                 1.3201,                 1.0404,                 0.9452,                 1.3381,                0.89933,                0.89871,                 0.9567,                 0.7432,                0.78347,                0.48569,                  1.361,                0.83581,                0.44962,                 1.3853,             0.00055188,             0.00055188,             0.00055188
                    127,                0.96537,                0.78453,                 1.3181,                 1.0475,                0.93104,                 1.3377,                0.92218,                0.88047,                0.96157,                0.74919,                0.79024,                0.47589,                 1.3625,                0.82509,                0.42714,                 1.3796,             0.00054481,             0.00054481,             0.00054481
                    128,                0.95853,                0.77577,                  1.309,                 1.0285,                0.92025,                 1.3295,                0.90336,                0.91004,                0.96157,                 0.7466,                 0.7947,                0.48616,                 1.3707,                0.83801,                0.42901,                 1.3987,             0.00053773,             0.00053773,             0.00053773
                    129,                0.95784,                0.78885,                 1.3098,                  1.032,                0.93574,                 1.3313,                0.90419,                0.90072,                0.96302,                0.74489,                0.79233,                0.47048,                 1.3642,                0.83801,                0.43525,                 1.3874,             0.00053066,             0.00053066,             0.00053066
                    130,                0.95866,                0.76841,                 1.3146,                 1.0389,                0.90569,                 1.3357,                0.94762,                0.86655,                0.96272,                0.74723,                0.80119,                0.47061,                  1.377,                0.83575,                0.42838,                 1.4046,             0.00052359,             0.00052359,             0.00052359
                    131,                0.95462,                0.78086,                 1.3027,                 1.0308,                0.92784,                   1.32,                0.88383,                0.91369,                0.96233,                0.74981,                0.79399,                0.47349,                 1.3694,                0.83989,                0.42895,                 1.3982,             0.00051651,             0.00051651,             0.00051651
                    132,                0.95429,                0.76401,                  1.312,                 1.0342,                0.90139,                 1.3321,                0.91384,                0.92065,                0.96314,                0.75213,                0.78775,                0.45507,                 1.3644,                0.81645,                 0.4317,                 1.3807,             0.00050944,             0.00050944,             0.00050944
                    133,                0.93905,                 0.7587,                 1.2972,                 1.0239,                0.90034,                 1.3192,                0.90796,                0.90666,                0.96291,                0.75129,                0.78369,                0.47873,                 1.3598,                0.82475,                0.43015,                 1.3835,             0.00050236,             0.00050236,             0.00050236
                    134,                0.95756,                0.77065,                  1.308,                   1.03,                0.89738,                 1.3251,                0.90515,                0.89942,                0.96226,                 0.7512,                0.78359,                0.46387,                 1.3555,                0.81817,                0.44297,                 1.3893,             0.00049529,             0.00049529,             0.00049529
                    135,                0.95541,                0.76544,                 1.3092,                 1.0337,                0.90625,                 1.3274,                0.93238,                0.92301,                0.96574,                0.75243,                0.78518,                0.46207,                  1.363,                0.82673,                0.40974,                 1.3842,             0.00048822,             0.00048822,             0.00048822
                    136,                0.94133,                  0.754,                 1.2967,                 1.0041,                0.90939,                 1.3056,                0.90024,                0.88126,                0.95389,                0.74302,                0.77595,                0.50408,                 1.3602,                0.82263,                0.46775,                 1.3853,             0.00048114,             0.00048114,             0.00048114
                    137,                0.94525,                0.76315,                 1.3022,                  1.031,                0.89869,                 1.3257,                0.91348,                0.91902,                0.95909,                0.75175,                0.77412,                0.47143,                 1.3557,                0.81823,                0.42765,                 1.3767,             0.00047407,             0.00047407,             0.00047407
                    138,                0.92529,                 0.7554,                 1.2919,                 1.0011,                0.90545,                 1.3167,                0.91363,                0.90775,                0.96269,                0.75421,                 0.7795,                 0.4768,                 1.3563,                0.82258,                0.42007,                 1.3761,               0.000467,               0.000467,               0.000467
                    139,                0.91599,                0.74529,                 1.2828,                0.99189,                 0.8756,                 1.3051,                0.91341,                0.92742,                 0.9664,                0.75562,                0.76817,                0.45631,                  1.347,                0.81924,                0.41329,                 1.3736,             0.00045992,             0.00045992,             0.00045992
                    140,                0.94197,                0.75348,                 1.3007,                 1.0196,                0.89079,                  1.323,                0.92055,                0.90179,                0.96306,                0.75465,                0.77638,                0.46346,                 1.3516,                 0.8211,                0.42198,                  1.382,             0.00045285,             0.00045285,             0.00045285
                    141,                0.92873,                0.72922,                  1.283,                 1.0046,                0.87109,                 1.3058,                0.93904,                 0.9068,                0.96911,                0.75463,                0.78907,                0.45186,                 1.3633,                0.82875,                0.41651,                 1.3845,             0.00044578,             0.00044578,             0.00044578
                    142,                0.93455,                0.74482,                  1.299,                 1.0136,                0.87759,                 1.3173,                0.92407,                0.91117,                0.96249,                 0.7505,                0.78661,                0.46275,                 1.3613,                0.82952,                0.43116,                 1.3768,              0.0004387,              0.0004387,              0.0004387
                    143,                0.91483,                0.72178,                 1.2831,                0.98831,                0.84702,                 1.3016,                0.94099,                0.88379,                 0.9635,                0.75608,                0.77604,                0.45602,                 1.3495,                0.81746,                0.41731,                 1.3687,             0.00043163,             0.00043163,             0.00043163
                    144,                0.93031,                0.72605,                 1.2878,                 1.0038,                0.85212,                  1.304,                0.91988,                0.91195,                0.96377,                0.75444,                0.77446,                0.46205,                 1.3535,                0.81039,                0.41795,                 1.3662,             0.00042456,             0.00042456,             0.00042456
                    145,                0.91309,                0.73037,                 1.2813,                0.98758,                0.86615,                 1.3005,                0.92352,                 0.9005,                0.96419,                0.75497,                0.77649,                0.46233,                 1.3519,                0.81549,                0.42035,                 1.3718,             0.00041748,             0.00041748,             0.00041748
                    146,                0.90874,                0.71553,                 1.2771,                0.98084,                0.84989,                 1.2917,                0.93053,                0.90324,                0.96208,                0.75325,                0.76844,                0.45929,                 1.3466,                0.80923,                 0.4141,                  1.368,             0.00041041,             0.00041041,             0.00041041
                    147,                0.91618,                0.73533,                 1.2777,                0.98937,                0.88422,                 1.2949,                0.93407,                0.88215,                0.95979,                0.75098,                0.76754,                0.47005,                 1.3424,                0.81959,                0.42509,                  1.374,             0.00040334,             0.00040334,             0.00040334
                    148,                0.90221,                0.72637,                 1.2794,                0.97562,                0.85996,                 1.2996,                0.93725,                0.88903,                 0.9579,                  0.748,                0.77475,                0.47156,                 1.3528,                 0.8126,                 0.4465,                 1.3785,             0.00039626,             0.00039626,             0.00039626
                    149,                 0.9169,                0.72796,                 1.2799,                0.99185,                0.87452,                 1.2982,                0.93677,                0.88816,                0.96114,                0.74663,                0.78299,                0.47078,                  1.355,                0.81755,                0.42984,                 1.3814,             0.00038919,             0.00038919,             0.00038919
                    150,                0.91678,                0.74413,                 1.2852,                0.98907,                0.87697,                  1.302,                0.91385,                0.88877,                0.95573,                 0.7447,                0.80439,                0.47363,                 1.3718,                0.83161,                0.45287,                 1.3861,             0.00038211,             0.00038211,             0.00038211
                    151,                 0.9121,                0.72821,                 1.2748,                0.98849,                0.86894,                 1.2938,                0.92637,                0.90289,                 0.9641,                0.75372,                0.78609,                0.45783,                 1.3577,                0.81919,                0.42076,                  1.374,             0.00037504,             0.00037504,             0.00037504
                    152,                 0.9058,                0.72767,                 1.2745,                0.98251,                0.84891,                 1.2933,                0.91813,                0.89876,                0.95702,                 0.7447,                0.79462,                0.48429,                  1.366,                0.82703,                0.44574,                 1.3848,             0.00036797,             0.00036797,             0.00036797
                    153,                  0.911,                0.73981,                  1.273,                0.99033,                0.86388,                 1.2927,                0.92131,                0.88899,                 0.9612,                0.75092,                0.79675,                0.46471,                 1.3763,                0.83297,                0.43262,                 1.3941,             0.00036089,             0.00036089,             0.00036089
                    154,                 0.8966,                0.72392,                 1.2666,                0.97432,                0.85722,                 1.2887,                0.93664,                0.89572,                0.96551,                0.75408,                0.79215,                0.46291,                  1.365,                0.83381,                0.40489,                 1.3876,             0.00035382,             0.00035382,             0.00035382
                    155,                0.89107,                0.70528,                 1.2673,                0.97222,                0.83021,                 1.2893,                0.93918,                0.90084,                0.96746,                0.75695,                0.78805,                0.44471,                 1.3671,                0.82477,                0.39759,                 1.3895,             0.00034675,             0.00034675,             0.00034675
                    156,                0.89209,                0.70401,                 1.2647,                0.96103,                0.83124,                 1.2823,                0.94414,                0.87939,                 0.9573,                0.74749,                0.79449,                0.47192,                 1.3738,                0.83303,                0.43688,                  1.394,             0.00033967,             0.00033967,             0.00033967
                    157,                0.89368,                 0.7061,                 1.2679,                0.96283,                0.84977,                 1.2827,                0.93164,                0.90311,                 0.9591,                0.74996,                0.79773,                 0.4624,                 1.3682,                0.82978,                0.42134,                 1.3869,              0.0003326,              0.0003326,              0.0003326
                    158,                0.88551,                0.69357,                  1.256,                0.96023,                0.80904,                 1.2737,                0.93206,                0.90027,                0.96057,                0.75484,                0.78412,                0.44678,                 1.3617,                0.81311,                0.42006,                 1.3796,             0.00032553,             0.00032553,             0.00032553
                    159,                0.89049,                0.69699,                 1.2627,                0.97426,                0.82128,                 1.2854,                0.91103,                0.89912,                0.95534,                0.74864,                0.78093,                0.46572,                 1.3609,                0.81348,                0.46226,                 1.3763,             0.00031845,             0.00031845,             0.00031845
                    160,                0.88145,                0.70383,                 1.2588,                0.96198,                0.82479,                 1.2805,                0.91747,                0.90196,                0.95621,                0.75064,                0.78123,                0.46723,                 1.3612,                0.81327,                0.44721,                 1.3768,             0.00031138,             0.00031138,             0.00031138
                    161,                0.88854,                0.69568,                 1.2581,                0.96783,                0.82374,                  1.278,                0.93142,                0.88945,                 0.9558,                0.74735,                0.78322,                0.47757,                  1.367,                0.81189,                0.47181,                 1.3774,             0.00030431,             0.00030431,             0.00030431
                    162,                0.88725,                0.69522,                  1.264,                0.96728,                0.81799,                 1.2868,                0.93136,                0.88978,                0.96085,                0.74785,                0.78555,                 0.4699,                 1.3612,                0.81453,                0.45189,                 1.3731,             0.00029723,             0.00029723,             0.00029723
                    163,                0.87014,                0.69339,                 1.2544,                0.94641,                0.80804,                 1.2784,                 0.9226,                0.89395,                0.96167,                 0.7495,                0.79015,                0.45576,                 1.3613,                0.82806,                0.43475,                 1.3788,             0.00029016,             0.00029016,             0.00029016
                    164,                0.87069,                0.69056,                 1.2507,                0.95014,                0.81793,                 1.2704,                0.89805,                0.92791,                0.96103,                0.75072,                 0.7773,                0.45141,                  1.356,                0.80901,                0.43227,                 1.3708,             0.00028308,             0.00028308,             0.00028308
                    165,                 0.8829,                0.69847,                 1.2575,                0.96065,                0.83722,                 1.2796,                0.92478,                0.91089,                0.96561,                0.75692,                 0.7773,                0.45475,                 1.3556,                0.81523,                0.41835,                  1.374,             0.00027601,             0.00027601,             0.00027601
                    166,                0.86411,                0.69039,                 1.2442,                0.93721,                0.81466,                 1.2626,                0.91122,                0.91434,                0.96262,                0.75514,                0.77557,                0.44776,                 1.3489,                0.80425,                0.42155,                 1.3604,             0.00026894,             0.00026894,             0.00026894
                    167,                0.87342,                0.69032,                 1.2515,                0.94881,                0.82532,                 1.2739,                 0.9289,                0.89817,                 0.9611,                0.75433,                 0.7801,                0.45487,                 1.3601,                0.81677,                0.42291,                 1.3739,             0.00026186,             0.00026186,             0.00026186
                    168,                0.85704,                0.67857,                  1.239,                0.94185,                0.79775,                 1.2666,                0.90373,                0.90586,                0.95904,                0.74431,                0.78045,                0.45534,                 1.3565,                0.81956,                0.44504,                 1.3828,             0.00025479,             0.00025479,             0.00025479
                    169,                0.86375,                0.67858,                 1.2505,                0.94101,                0.80653,                 1.2736,                0.91041,                0.91446,                 0.9621,                0.74709,                 0.7745,                0.45523,                  1.356,                0.81324,                0.44546,                 1.3767,             0.00024772,             0.00024772,             0.00024772
                    170,                0.86215,                0.67606,                 1.2437,                0.94324,                0.79979,                 1.2689,                0.92655,                0.90628,                0.96329,                0.75022,                0.77042,                 0.4519,                 1.3508,                 0.8016,                0.44069,                 1.3634,             0.00024064,             0.00024064,             0.00024064
                    171,                0.85504,                0.67122,                 1.2404,                0.93234,                0.79329,                 1.2625,                0.92886,                0.90017,                0.96136,                0.75048,                0.76417,                0.44838,                 1.3445,                0.80096,                0.43393,                 1.3594,             0.00023357,             0.00023357,             0.00023357
                    172,                 0.8491,                0.66738,                 1.2412,                0.92325,                0.78518,                 1.2646,                0.91663,                 0.9054,                0.96068,                0.74702,                0.77251,                0.45692,                 1.3535,                0.80382,                0.44164,                 1.3682,              0.0002265,              0.0002265,              0.0002265
                    173,                0.86786,                 0.6866,                 1.2463,                 0.9457,                0.81365,                 1.2697,                0.92263,                0.88989,                0.95737,                0.74011,                0.77397,                0.46153,                 1.3517,                0.80437,                0.46085,                 1.3651,             0.00021942,             0.00021942,             0.00021942
                    174,                0.87847,                0.69953,                 1.2595,                0.94975,                0.83244,                 1.2806,                0.91787,                0.89146,                0.95536,                0.73964,                0.77866,                0.46426,                 1.3574,                0.81227,                0.45018,                 1.3821,             0.00021235,             0.00021235,             0.00021235
                    175,                0.85122,                0.66312,                 1.2338,                 0.9217,                0.78939,                 1.2575,                0.93505,                0.88354,                0.95996,                0.74176,                0.78234,                0.45309,                 1.3665,                0.81913,                0.44299,                 1.3862,             0.00020528,             0.00020528,             0.00020528
                    176,                0.85222,                0.67974,                 1.2384,                0.92619,                0.80058,                 1.2635,                0.91634,                0.89496,                0.95971,                0.74459,                0.77837,                0.45602,                 1.3615,                0.81506,                0.44533,                 1.3837,              0.0001982,              0.0001982,              0.0001982
                    177,                0.84606,                 0.6655,                 1.2358,                0.92463,                0.77879,                 1.2614,                0.93299,                0.88743,                0.95809,                0.74469,                0.77673,                0.46165,                 1.3575,                0.81512,                0.44711,                 1.3766,             0.00019113,             0.00019113,             0.00019113
                    178,                0.85935,                0.66494,                 1.2403,                  0.928,                 0.7747,                 1.2603,                0.91237,                 0.8961,                0.95909,                0.74856,                0.77135,                 0.4523,                 1.3539,                0.80981,                0.43129,                 1.3724,             0.00018406,             0.00018406,             0.00018406
                    179,                0.85402,                0.67228,                 1.2343,                0.93321,                0.77946,                 1.2589,                0.91616,                0.89539,                0.96156,                0.75352,                0.76939,                0.45167,                 1.3514,                0.81234,                0.41711,                  1.369,             0.00017698,             0.00017698,             0.00017698
                    180,                0.85104,                0.67962,                 1.2425,                0.92853,                0.80042,                 1.2661,                0.94643,                0.88763,                0.96213,                0.75368,                0.77004,                0.44182,                 1.3535,                0.81282,                0.41566,                 1.3715,             0.00016991,             0.00016991,             0.00016991
                    181,                0.83892,                0.66142,                 1.2267,                0.91215,                0.78198,                 1.2463,                0.94368,                0.89181,                0.96214,                0.75445,                0.77077,                0.44459,                 1.3513,                 0.8136,                0.41144,                 1.3687,             0.00016283,             0.00016283,             0.00016283
                    182,                0.84968,                0.66996,                 1.2355,                0.92027,                0.80822,                 1.2588,                0.94513,                0.88685,                   0.96,                0.75261,                0.76928,                0.45188,                 1.3482,                0.80685,                0.42353,                 1.3658,             0.00015576,             0.00015576,             0.00015576
                    183,                0.84062,                0.65833,                 1.2306,                0.91638,                0.77994,                 1.2526,                0.94783,                0.88723,                 0.9622,                 0.7512,                0.76761,                0.45203,                  1.348,                0.80863,                0.42283,                  1.364,             0.00014869,             0.00014869,             0.00014869
                    184,                0.83293,                 0.6662,                  1.225,                0.90317,                 0.7969,                 1.2458,                0.94113,                0.90566,                0.96412,                0.75171,                0.77401,                0.44627,                 1.3537,                0.81342,                0.41434,                 1.3671,             0.00014161,             0.00014161,             0.00014161
                    185,                0.83307,                0.65952,                 1.2267,                0.90778,                0.78163,                 1.2477,                0.94285,                0.88239,                0.96349,                0.75108,                 0.7716,                0.44354,                 1.3516,                0.80993,                0.42516,                 1.3672,             0.00013454,             0.00013454,             0.00013454
                    186,                0.84206,                0.65541,                 1.2332,                0.91858,                0.77837,                 1.2563,                0.92225,                0.89687,                 0.9623,                0.75151,                0.76948,                0.44009,                 1.3482,                0.81076,                0.43113,                 1.3659,             0.00012747,             0.00012747,             0.00012747
                    187,                0.83595,                0.65783,                 1.2294,                0.91388,                0.77297,                 1.2538,                0.91872,                0.90372,                0.96321,                0.75312,                0.77149,                0.44371,                 1.3528,                0.81609,                0.41965,                 1.3708,             0.00012039,             0.00012039,             0.00012039
                    188,                 0.8308,                0.65871,                 1.2259,                0.89809,                0.77824,                  1.246,                  0.907,                0.89022,                0.96069,                0.75213,                0.77953,                0.45217,                 1.3581,                0.82122,                0.43641,                 1.3798,             0.00011332,             0.00011332,             0.00011332
                    189,                0.84341,                0.65227,                 1.2304,                0.91926,                 0.7731,                 1.2545,                 0.9413,                0.86481,                0.95938,                0.75204,                0.78187,                0.45596,                 1.3586,                0.82151,                0.44383,                 1.3743,             0.00010625,             0.00010625,             0.00010625
                    190,                0.83592,                0.65556,                  1.224,                0.89797,                0.78153,                 1.2414,                0.90189,                0.91591,                0.96203,                0.75149,                0.78066,                0.45007,                 1.3596,                0.82465,                0.42444,                 1.3802,             9.9173e-05,             9.9173e-05,             9.9173e-05
                    191,                0.64576,                0.41069,                 1.1021,                 0.6912,                0.38415,                 1.1233,                0.91307,                0.90481,                0.95934,                0.75083,                0.77375,                0.45436,                   1.36,                0.81732,                0.43117,                 1.3729,             9.2099e-05,             9.2099e-05,             9.2099e-05
                    192,                0.63772,                0.38264,                 1.0939,                0.68188,                0.33973,                 1.1086,                0.92474,                0.88698,                0.95854,                0.75206,                0.77105,                0.45764,                 1.3624,                 0.8143,                0.42979,                 1.3718,             8.5026e-05,             8.5026e-05,             8.5026e-05
                    193,                0.62848,                0.37555,                 1.0838,                0.67079,                0.33326,                 1.1004,                0.93138,                0.89996,                0.96101,                0.75326,                0.76851,                0.45485,                 1.3634,                0.81303,                0.41637,                 1.3697,             7.7952e-05,             7.7952e-05,             7.7952e-05
                    194,                0.63094,                0.37752,                  1.089,                0.67649,                0.33498,                 1.1048,                0.94588,                 0.8839,                0.96036,                 0.7532,                0.76953,                0.45506,                 1.3646,                0.80642,                0.42893,                 1.3754,             7.0878e-05,             7.0878e-05,             7.0878e-05
                    195,                 0.6252,                0.36772,                 1.0819,                0.66623,                0.32451,                 1.1052,                0.94361,                0.88409,                 0.9608,                0.75472,                 0.7685,                0.45142,                 1.3622,                0.80087,                0.42781,                 1.3693,             6.3805e-05,             6.3805e-05,             6.3805e-05
                    196,                0.62531,                0.36811,                 1.0835,                0.66647,                0.32028,                 1.1029,                0.92583,                0.89708,                0.96092,                0.75328,                0.76548,                0.44887,                 1.3584,                0.79944,                0.42849,                 1.3677,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    197,                0.61927,                 0.3705,                 1.0809,                0.65611,                0.31887,                 1.0962,                 0.9253,                0.90581,                0.96119,                0.75534,                0.76227,                0.44991,                  1.354,                0.79792,                0.42284,                 1.3645,             4.9658e-05,             4.9658e-05,             4.9658e-05
                    198,                 0.6152,                0.36308,                 1.0757,                0.65913,                 0.3242,                 1.0966,                0.92031,                0.90223,                0.96011,                0.75547,                0.76468,                0.45213,                 1.3552,                0.80097,                0.42373,                 1.3653,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    199,                0.60809,                0.36473,                 1.0714,                0.64782,                0.31573,                 1.0912,                0.93057,                0.88859,                 0.9571,                0.75269,                0.76583,                0.45192,                 1.3557,                 0.8029,                0.42285,                 1.3688,             3.5511e-05,             3.5511e-05,             3.5511e-05
                    200,                0.61308,                 0.3637,                  1.067,                0.65104,                0.32318,                 1.0835,                0.91845,                0.90458,                0.95745,                 0.7524,                0.76657,                0.45253,                 1.3577,                0.80372,                0.42323,                 1.3694,             2.8437e-05,             2.8437e-05,             2.8437e-05
